Schedule.exported.from;data/regimes/fig5_Refinement/5a_RandomSearch.csv;;;;;;;;
Lamp timestamp;2025-01-09 14:30:50;;;;;;;;
;380nm;400nm;420nm;450nm;530nm;620nm;660nm;735nm;5700k
08:35:00;0;0;317;295;0;0;986;69;0
08:40:00;0;0;274;299;0;0;978;65;0
08:45:00;0;0;320;296;0;0;982;71;0
08:50:00;0;0;220;302;0;0;973;62;0
08:55:00;0;0;274;296;0;0;996;65;0
09:00:00;0;0;291;288;0;0;1000;63;0
09:05:00;0;0;242;294;0;0;974;68;0
09:10:00;0;0;203;294;0;0;985;64;0
09:15:00;0;0;310;295;0;0;974;69;0
09:20:00;0;0;257;292;0;0;982;65;0
09:25:00;0;0;242;290;0;0;987;67;0
09:30:00;0;0;261;293;0;0;994;59;0
09:35:00;0;0;260;304;0;0;977;65;0
09:40:00;0;0;198;302;0;0;984;68;0
09:45:00;0;0;298;292;0;0;977;66;0
09:50:00;0;0;265;303;0;0;982;71;0
09:55:00;0;0;199;302;0;0;984;72;0
10:00:00;0;0;287;287;0;0;983;65;0
10:05:00;0;0;294;303;0;0;996;68;0
10:10:00;0;0;254;299;0;0;980;59;0
10:15:00;0;0;272;294;0;0;982;72;0
10:20:00;0;0;207;304;0;0;998;71;0
10:25:00;0;0;281;304;0;0;973;67;0
10:30:00;0;0;286;301;0;0;991;70;0
10:35:00;0;0;279;303;0;0;989;71;0
10:40:00;0;0;221;303;0;0;998;68;0
10:45:00;0;0;337;304;0;0;998;61;0
10:50:00;0;0;224;304;0;0;994;62;0
10:55:00;0;0;308;302;0;0;989;62;0
11:00:00;0;0;278;300;0;0;998;60;0
11:05:00;0;0;320;291;0;0;992;67;0
11:10:00;0;0;337;291;0;0;992;68;0
11:15:00;0;0;223;294;0;0;997;72;0
11:20:00;0;0;208;298;0;0;979;59;0
11:25:00;0;0;322;294;0;0;998;66;0
11:30:00;0;0;332;284;0;0;997;68;0
11:35:00;0;0;329;296;0;0;982;60;0
11:40:00;0;0;282;304;0;0;999;60;0
11:45:00;0;0;220;293;0;0;986;63;0
11:50:00;0;0;316;303;0;0;988;64;0
11:55:00;0;0;198;293;0;0;980;61;0
12:00:00;0;0;347;302;0;0;997;71;0
12:05:00;0;0;235;290;0;0;977;59;0
12:10:00;0;0;261;294;0;0;994;61;0
12:15:00;0;0;334;289;0;0;972;66;0
12:20:00;0;0;322;294;0;0;995;72;0
12:25:00;0;0;216;295;0;0;990;68;0
